55;Desember.id;Jl. Rajawali No. 57;https://maps.app.goo.gl/LM3pDUA3HHUzQSdE8;-2.1991718837835483;113.89794070754327;Indoor & Outdoor;Toilet & AC;6.000 - 45.000;18.000 - 32.000;4.5
56;Alasa Coffee;Jl. Krakatau No. 11;https://maps.app.goo.gl/wdUDmKrSTjVL5Gv37;-2.2081316430062174;113.91149467315313;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;20.000 - 55.000;20.000 - 45.000;4.6
57;Naluri Hati.Co;Jl. Lamtoro Gung Induk;https://maps.app.goo.gl/Tbz2tjLzxj9bXpD36;-2.252199307327501;113.94076223267658;Indoor & Outdoor;Toilet & AC;15.000 - 30.000;15.000 - 30.000;4.8
58;Teras Depan Coffee;Jl. Patimura No. 13;https://maps.app.goo.gl/6tGoYTbzKretfu5R8;-2.2137225061701886;113.90982912473848;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;18.000 - 38.000;18.000 - 28.000;4.6
59;Terserah.id;Jl. Sam Ratulangi No. 86;https://maps.app.goo.gl/YETmFSRL1A2NEA9HA;-2.2173405441288296;113.91216096521529;Indoor & Outdoor;Toilet & AC;15.000 - 28.000;7.000 - 30.000;3.9
60;Plovdiv;Jl. Teuku Umar;https://maps.app.goo.gl/ryvdDpNjhBSumfyN7;-2.2152833027722685;113.9090822019775;Indoor & Outdoor;Toilet & AC;15.000 - 47.000;15.000 - 25.000;4.6
61;Neverland 2;Jl. Nyai Enat No. 46;https://maps.app.goo.gl/pLJ5UD4jfp1jLuFa6;-2.212964518597995;113.91486729219955;Indoor & Outdoor;Toilet & AC;19.000 - 27.000;7.000 - 36.000;4.6
62;Loca Koffie;Jl. RTA Milono Km 3,5;https://maps.app.goo.gl/GSki9ZsBaPeqeu868;-2.2389983880750948;113.92017493452795;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;14.000 - 52.000;12.000 - 28.000;4.7
63;Lavanaa Cofee & Eatery;Jl. Barito No. 29;https://maps.app.goo.gl/LTqyqyyU3ZoGrwUH8;-2.202423095951041;113.91476002770035;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;28.000 - 60.000;10.000 - 28.000;4.9
64;We.Co;Jl. Agung No. 13;https://maps.app.goo.gl/jG5HN5tWtk4wSYCYA;-2.2043378798595907;113.90924019034819;Indoor & Outdoor;Toilet, AC;13.000 - 32.000;5.000 - 25.000;4.8
65;Toko Kopi & Bakmi Santai;Jl. Antang No. 18;https://maps.app.goo.gl/qbGSENYo41ZM9BwF8;-2.197278999797317;113.90136030145689;Indoor & Outdoor;Toilet & AC;20.000 - 33.000;18.000 - 30.000;4.8
